n_features,accuracy,auc,spd,di,eod,aod
2,0.8145363408521303,0.8828768844221105,0.4459071687474828,2.8186017862642436,0.3366495507060334,0.2924335097558688
3,0.8045112781954887,0.8876884422110554,0.4664216673378977,2.9403141361256546,0.37109542148053054,0.32057444870817975
5,0.8170426065162907,0.8931658291457286,0.4507148610551751,2.8749738219895287,0.3579375267436884,0.29572455659822566
7,0.8220551378446115,0.8968844221105527,0.4410994764397905,2.764397905759162,0.3316217372700042,0.2825666618613836
10,0.8270676691729323,0.9055276381909547,0.432339911397503,2.6058339566192967,0.30027813436029094,0.27045992279511877
15,0.8320802005012531,0.9008040201005024,0.4118254128070882,2.50280150638376,0.25770218228498076,0.24560688436887185
20,0.8345864661654135,0.9036683417085428,0.3965465163109142,2.422097851597761,0.25770218228498076,0.22711312322805188
30,0.8370927318295739,0.9062311557788945,0.37079641562625854,2.3072144822078267,0.22828412494651262,0.19769821220587663
50,0.8295739348370927,0.9074623115577889,0.36598872331856624,2.268760907504363,0.22015404364569957,0.1971982339440619
75,0.8245614035087719,0.9125376884422111,0.36556081353201775,2.2887567663501645,0.24646983311938386,0.19921530871655468
