n_features,accuracy,auc,spd,di,eod,aod
2,0.8145363408521303,0.8828768844221105,0.4459071687474828,2.8186017862642436,0.3366495507060334,0.2924335097558688
3,0.8045112781954887,0.8876884422110554,0.4664216673378977,2.9403141361256546,0.37109542148053054,0.32057444870817975
5,0.8170426065162907,0.8962562814070352,0.43276782118405155,2.5792229264260125,0.3134360290971331,0.27681605376425283
7,0.8370927318295739,0.9010050251256282,0.4122533225936367,2.4784257086116623,0.25267436884895156,0.24309297765085724
10,0.8345864661654135,0.9006783919597989,0.41706101490132896,2.521906861394323,0.2658322635857937,0.24967192501927832
15,0.8320802005012531,0.9015577889447236,0.4118254128070882,2.50280150638376,0.25770218228498076,0.24560688436887185
20,0.8370927318295739,0.9028894472361808,0.4017821184051551,2.4408738039357285,0.24454428754813862,0.23167499582398018
30,0.8320802005012531,0.9022864321608042,0.3908830044301248,2.4263800863415077,0.26272999572100986,0.22227408876959584
50,0.8421052631578947,0.9041206030150754,0.4214407974224728,2.593812470252261,0.2871202396234489,0.24939790947304352
75,0.849624060150376,0.9150251256281406,0.37517619814740233,2.369064021309819,0.25770218228498076,0.19413629613357772
