n_features,features,accuracy,auc,spd,di,eod,aod
2,"['PctKids2Par', 'PctIlleg']",0.8145363408521303,0.8828768844221105,-0.4824067558057706,0.3148425787106447,-0.31676931690929455,0.19655482162481047
3,"['PctKids2Par', 'PctIlleg', 'PctFam2Par']",0.8045112781954887,0.8876884422110554,-0.49261083743842365,0.3103448275862069,-0.3937569988801791,0.22543327799486812
5,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous']",0.8220551378446115,0.8907537688442212,-0.558057705840957,0.260950605778192,-0.4823628219484883,0.29071521050804366
7,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par']",0.8345864661654135,0.897713567839196,-0.5330752990851514,0.2843646669815777,-0.3906774916013438,0.2367140371759633
10,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par']",0.8395989974937343,0.9038693467336684,-0.532899366643209,0.27966706302021405,-0.3906774916013438,0.22855552901745513
15,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par', 'pctWPubAsst', 'PctPopUnderPov', 'racepctblack', 'NumUnderPov', 'PctHousLess3BR']",0.8446115288220551,0.9065577889447237,-0.5327234342012668,0.27490421455938696,-0.3628219484882419,0.22103801387116057
20,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par', 'pctWPubAsst', 'PctPopUnderPov', 'racepctblack', 'NumUnderPov', 'PctHousLess3BR', 'racePctHisp', 'TotalPctDiv', 'PctPersOwnOccup', 'MalePctDivorce', 'PctLargHouseFam']",0.8421052631578947,0.9065075376884422,-0.5274454609429979,0.2719766877124818,-0.34966405375139975,0.21766419470786771
30,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par', 'pctWPubAsst', 'PctPopUnderPov', 'racepctblack', 'NumUnderPov', 'PctHousLess3BR', 'racePctHisp', 'TotalPctDiv', 'PctPersOwnOccup', 'MalePctDivorce', 'PctLargHouseFam', 'PctUnemployed', 'PctLess9thGrade', 'PctNotHSGrad', 'PctHousNoPhone', 'HousVacant', 'PersPerRentOccHous', 'MedOwnCostPctInc', 'PctSpeakEnglOnly', 'PctLargHouseOccup', 'PctEmplProfServ']",0.8345864661654135,0.9066582914572864,-0.5022871217452498,0.2917390225750434,-0.3086506159014557,0.19395234757776747
50,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par', 'pctWPubAsst', 'PctPopUnderPov', 'racepctblack', 'NumUnderPov', 'PctHousLess3BR', 'racePctHisp', 'TotalPctDiv', 'PctPersOwnOccup', 'MalePctDivorce', 'PctLargHouseFam', 'PctUnemployed', 'PctLess9thGrade', 'PctNotHSGrad', 'PctHousNoPhone', 'HousVacant', 'PersPerRentOccHous', 'MedOwnCostPctInc', 'PctSpeakEnglOnly', 'PctLargHouseOccup', 'PctEmplProfServ', 'PctNotSpeakEnglWell', 'PctImmigRec10', 'MedRentPctHousInc', 'PctBornSameState', 'pctWRetire', 'householdsize', 'PctSameState85', 'AsianPerCap', 'blackPerCap', 'MalePctNevMarr', 'OtherPerCap', 'MedYrHousBuilt', 'MedOwnCostPctIncNoMtg', 'PersPerOwnOccHous', 'PctVacMore6Mos', 'PctWorkMomYoungKids', 'PctHousOccup', 'NumImmig', 'PctWorkMom', 'PctSameHouse85']",0.8521303258145363,0.9132663316582914,-0.5272695285010556,0.26705796038151136,-0.30053191489361697,0.20271350989436093
100,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'racePctWhite', 'PctPersDenseHous', 'NumIlleg', 'PctYoungKids2Par', 'FessPctDiv', 'pctWInvInc', 'PctTeen2Par', 'pctWPubAsst', 'PctPopUnderPov', 'racepctblack', 'NumUnderPov', 'PctHousLess3BR', 'racePctHisp', 'TotalPctDiv', 'PctPersOwnOccup', 'MalePctDivorce', 'PctLargHouseFam', 'PctUnemployed', 'PctLess9thGrade', 'PctNotHSGrad', 'PctHousNoPhone', 'HousVacant', 'PersPerRentOccHous', 'MedOwnCostPctInc', 'PctSpeakEnglOnly', 'PctLargHouseOccup', 'PctEmplProfServ', 'PctNotSpeakEnglWell', 'PctImmigRec10', 'MedRentPctHousInc', 'PctBornSameState', 'pctWRetire', 'householdsize', 'PctSameState85', 'AsianPerCap', 'blackPerCap', 'MalePctNevMarr', 'OtherPerCap', 'MedYrHousBuilt', 'MedOwnCostPctIncNoMtg', 'PersPerOwnOccHous', 'PctVacMore6Mos', 'PctWorkMomYoungKids', 'PctHousOccup', 'NumImmig', 'PctWorkMom', 'PctSameHouse85', 'PctImmigRec5', 'OwnOccHiQuart', 'PctImmigRec8', 'PctSameCity85', 'medIncome', 'agePct12t21', 'PersPerFam', 'pctWWage', 'PopDens', 'RentHighQ', 'PctWOFullPlumb', 'PctEmploy', 'population', 'PctOccupMgmtProf', 'PctOccupManu', 'PctBSorMore', 'PctEmplManu', 'HispPerCap', 'PctVacantBoarded', 'indianPerCap', 'whitePerCap', 'pctWSocSec', 'RentLowQ', 'pctWFarmSelf', 'agePct16t24', 'PctForeignBorn', 'medFamInc', 'OwnOccLowQuart', 'MedRent', 'OwnOccMedVal', 'PctImmigRecent', 'racePctAsian', 'LandArea', 'agePct12t29', 'PctHousOwnOcc', 'numbUrban', 'agePct65up', 'RentMedian', 'PctRecImmig8', 'PersPerOccupHous', 'PctRecImmig5', 'PctUsePubTrans', 'PctRecentImmig', 'PctRecImmig10', 'perCapInc', 'NumStreet', 'NumInShelters', 'LemasPctOfficDrugUn', 'pctUrban', 'MedNumBR']",0.849624060150376,0.9183919597989949,-0.5327234342012668,0.27490421455938696,-0.2579787234042553,0.2155278232405892
